Object_ID,Target_Class,Speed_mps,Altitude_m,Latitude,Longitude,Heading_deg,Pitch_deg,Roll_deg,Yaw_deg,Climb_Rate_mps,Acceleration_mps2,Turn_Rate_degps,Range_From_Radar_km,Bearing_deg,Radar_Cross_Section_m2,Doppler_Shift_Hz,Signal_to_Noise_Ratio_dB,Radar_Return_Strength,Infrared_Intensity,Engine_Type,Heat_Signature,Length_m,Wingspan_m,Estimated_Mass_kg,Flight_Profile,Maneuverability_Index,Max_G_Load,Weather,Visibility_km,Wind_Speed_mps,Temperature_C,Humidity_pct,Radar_Band,Sensor_Type,Detection_Time_ms,Tracking_Confidence,Track_Age_s,Number_of_Tracks,Electronic_Jamming,Chaff_Flares_Detected,Stealth_Category,Threat_Level,Target_Label
545,UAV,74.5,21675.7,1.4938,-169.3303,9,10.7,-3,348,-7.1,-3.87,26,356,216,14.95,-11734,15.7,0.801,Low,Electric,Low,17.1,39.6,30632,Loiter,4,19,Rain,22.7,3.1,6.2,60,L,Ground Radar,11,0.806,342.9,152,,No,High,High,UAV
546,UAV,64.3,49410.1,-32.9727,-117.77379,304,-15.9,43.9,248,-42.8,5.77,27.48,35.6,109,5.32,-12433,34.1,0.368,High,Electric,Low,9.6,11.5,190671,Loiter,3,10,Clear,28.6,6.4,44.7,92,L,AESA,305,0.877,88,74,Moderate,Yes,Low,Medium,UAV
547,Cruise Missile,209.7,25976,29.00614,-156.84882,324,9.7,-49.9,35,-11.9,1.44,13.83,143.5,359,28.85,32857,39.7,0.48,Medium,Turbojet,Medium,34,27.8,171967,Terrain Following,4,20,Clear,5.2,11.4,-9.4,43,S,Ground Radar,207,0.819,256.5,135,,No,Low,Low,Cruise Missile
548,Ballistic Missile,2603.6,36792.7,-15.71247,73.04606,332,-11.8,29.1,224,-26.1,8.97,26.78,193.9,21,38.69,-37168,27.3,0.418,Very High,Rocket,Very High,28.9,51.2,185715,Ballistic,5,7,Fog,2.4,11.8,24,74,S,Ground Radar,312,0.77,431.2,170,Weak,Yes,Low,Low,Ballistic Missile
549,Transport Aircraft,199.7,17672,48.88716,97.89178,34,12.5,50.7,319,-43.1,9.83,19.05,96,331,41.39,7073,22.3,0.463,Very High,Turbofan,High,48.6,3.9,65940,Cruise,3,8,Storm,6.2,16,3.3,74,X,AWACS,426,0.79,192.1,164,Weak,No,Low,High,Transport Aircraft
550,Transport Aircraft,257.2,4628.9,-22.52779,-0.39165,241,3.2,11.7,132,-30.2,-3.86,1.57,359.2,48,39.54,307,30.2,0.435,Low,Turbofan,High,38.8,11.5,137532,Cruise,3,17,Storm,9.1,0.5,42,17,S,AESA,137,0.806,77.2,152,Moderate,No,Medium,High,Transport Aircraft
551,Ballistic Missile,4383.3,4765.3,14.76532,140.92318,110,13.8,55.5,235,24.1,10.7,8.75,272.3,342,35.53,-35663,25.1,0.985,High,Rocket,Very High,22.8,55.4,163948,Ballistic,10,24,Clear,5.3,8.8,25.8,38,C,AESA,357,0.694,521.8,93,Strong,No,Medium,High,Ballistic Missile
552,Cruise Missile,272.5,4760.7,-7.7146,-78.93551,247,10.1,9.9,94,-46.5,8.63,9.3,376.5,216,2.32,32697,32.4,0.978,High,Turbojet,Medium,49.6,55.4,162846,Terrain Following,5,13,Storm,10.9,17.3,44.5,55,C,Ground Radar,318,0.814,383.1,68,Weak,No,Medium,High,Cruise Missile
553,Fighter,266.7,41991.4,-24.86036,-70.81353,119,11.8,-35.3,23,-45.1,15.08,0.15,5.5,205,15.06,8321,20.7,0.113,Very High,Jet,High,13.6,20.8,53841,Combat,2,25,Rain,3.7,0.5,26.5,51,S,Ground Radar,425,0.596,24.9,15,Strong,Yes,High,Low,Fighter
554,Ballistic Missile,3628.4,48229.4,40.27056,-141.79069,181,14.9,27.7,88,27.4,-4.37,29.96,253.3,301,5.66,-37233,9.7,0.469,Medium,Rocket,Very High,31.8,3.2,186161,Ballistic,7,2,Clear,19,9.5,27.7,94,C,AESA,263,0.662,44.8,149,,Yes,Low,Low,Ballistic Missile
555,UAV,43.7,13346.9,-9.10684,174.71769,10,12.7,-20.4,327,29.9,1.42,26.65,300.5,113,28.25,19703,16.4,0.186,Very High,Electric,Low,24.1,2.9,90495,Loiter,3,12,Rain,23.5,7.4,22.4,66,C,IRST,327,0.607,502.5,39,Moderate,Yes,Low,High,UAV
556,Cruise Missile,215.4,20949.3,19.33411,-128.55265,168,4,29.8,187,6.4,5.28,10.98,84.6,105,3.13,-3890,22.2,0.246,Medium,Turbojet,Medium,35.7,1.6,151654,Terrain Following,9,7,Rain,11.7,13.2,39.1,95,X,AWACS,271,0.633,320.3,58,Moderate,Yes,Medium,High,Cruise Missile
557,Fighter,539.8,32968.1,-20.12657,-14.09913,320,-15.8,13.9,332,29.7,-0.69,15.97,218.9,1,10.17,427,17.5,0.964,Low,Jet,High,25.3,41.4,161854,Combat,5,29,Storm,13.1,7.8,-0.1,21,X,IRST,252,0.678,150.5,78,Strong,Yes,Low,Medium,Fighter
558,UAV,54.4,17525.9,31.63808,-31.52093,51,-15.7,-48.7,111,-31.2,18.12,27,101.5,0,23.13,-17518,28,0.26,Low,Electric,Low,20.8,48.2,11199,Loiter,7,10,Clear,27.3,12.3,-16.2,41,S,IRST,402,0.739,532.6,152,,Yes,Medium,Low,UAV
559,UAV,59.7,27799.9,-42.21913,-82.67704,335,-18,-39.3,106,41.6,-4.67,26.98,206.7,40,37.2,-24104,7.5,0.878,Low,Electric,Low,2.5,27.1,15682,Loiter,4,28,Rain,19.8,16.6,-17,40,X,Ground Radar,8,0.631,124.7,21,Moderate,Yes,Low,Low,UAV
560,Hypersonic Missile,3280.4,26649.3,56.81859,168.18271,30,-6,17.7,232,-33.6,-2.92,7.91,274.6,181,23.06,-4693,36.8,0.085,Low,Scramjet,Very High,46.7,13.2,25858,Glide,3,30,Rain,3.6,14,-10.5,79,X,AESA,166,0.951,218.4,79,Moderate,Yes,High,Medium,Hypersonic Missile
561,Helicopter,54.3,46626.3,31.46968,84.35598,275,-19,-15.6,323,-46.1,6.45,17.68,270,139,39.42,28741,25,0.253,Low,Turboshaft,Medium,36.2,45.8,180622,Hover,5,28,Storm,14.3,11,-19,17,X,AWACS,243,0.839,62.7,133,Weak,Yes,High,High,Helicopter
562,Fighter,406.9,41708.7,-41.68376,-137.55212,26,10.5,-25,295,-14.5,0.54,7.3,259.3,54,45.87,-42110,37.4,0.896,Very High,Jet,High,20.5,40.2,9265,Combat,2,28,Clear,12.9,3.2,20.2,82,X,AESA,114,0.666,233.5,104,Strong,Yes,Medium,Medium,Fighter
563,Fighter,686.8,10344.7,34.59942,19.90685,50,-18,-15.3,325,25.6,18.24,26.28,354.7,270,45.84,5697,21,0.767,Low,Jet,High,47.4,58.8,19521,Combat,2,2,Rain,3.9,18.3,-3.7,19,C,AESA,244,0.604,592,113,Moderate,Yes,High,High,Fighter
564,Helicopter,69,16535.4,-11.73838,31.66342,48,8.6,-10.4,92,-8.5,15.29,25.13,40.5,359,41.51,28977,19.6,0.388,Medium,Turboshaft,Medium,44.9,8.3,102,Hover,9,29,Rain,24.2,4.4,9.4,56,S,IRST,66,0.711,31,51,Weak,No,Medium,Low,Helicopter
565,Ballistic Missile,6434.4,27648.6,17.92686,23.32358,10,-9.1,-58.4,259,-19.8,15.24,10.69,372.7,127,2.32,-12289,22,0.02,Very High,Rocket,Very High,8.1,10.2,3892,Ballistic,7,22,Fog,22.3,11.9,-11.4,85,S,IRST,36,0.768,454.7,25,Moderate,No,Medium,High,Ballistic Missile
566,UAV,50.5,24331.2,13.11751,130.34022,356,-18.2,8.8,270,-16.9,16.8,14.12,153.8,18,21.7,-23873,29.5,0.348,Very High,Electric,Low,42,32.8,172882,Loiter,2,21,Rain,17.7,4.1,31.5,27,X,Ground Radar,35,0.549,395.9,32,Strong,Yes,Medium,High,UAV
567,Cruise Missile,262.8,44625.9,-13.43513,-57.65605,358,4.3,-15.8,64,-18.7,11.98,20.1,146.6,153,46.77,-28159,5.6,0.576,Medium,Turbojet,Medium,37.7,29.7,86377,Terrain Following,7,13,Storm,12.5,7.7,-16.3,74,X,AESA,26,0.508,225.3,51,,No,Low,Medium,Cruise Missile
568,Fighter,270.2,20875,27.41034,-38.53824,265,18.2,-28.3,297,-35.3,15.15,10.79,332.2,94,17.34,1031,17.5,0.361,Very High,Jet,High,10.4,36.9,8277,Combat,8,9,Rain,20.7,9,25.3,48,C,IRST,493,0.914,384.2,82,Strong,No,High,Medium,Fighter
569,Fighter,358.3,7918.5,-40.3675,-6.1505,239,-15.9,43.5,249,-48,18.98,2.89,190.8,292,37.11,-40233,7.3,0.86,Low,Jet,High,39.3,17.9,19740,Combat,7,28,Rain,10.1,24.4,-18.4,90,L,AESA,381,0.659,417.5,66,,Yes,High,Medium,Fighter
570,Cruise Missile,210.7,39386.5,-52.70002,-145.99415,112,-7,-26.4,153,4.1,18.2,17.2,31,263,22.55,11020,6.3,0.537,Very High,Turbojet,Medium,13.3,22.4,197230,Terrain Following,1,28,Fog,18.3,17.1,39.4,55,L,AESA,80,0.513,422.1,40,Weak,Yes,High,Medium,Cruise Missile
571,Transport Aircraft,226,26973.4,-2.02052,-84.06467,230,12.8,16,180,8.2,5.18,8.21,8,222,38.42,-2465,33.9,0.494,High,Turbofan,High,10.2,52,6858,Cruise,4,17,Fog,27.4,21.4,32,31,X,AWACS,130,0.692,317.8,99,,Yes,Medium,Medium,Transport Aircraft
572,Helicopter,62.1,7550.8,-17.33437,163.38358,184,-4.9,4.5,127,46.7,9.53,21.81,298.7,293,19.18,-7542,9.3,0.116,High,Turboshaft,Medium,33.2,43.5,89119,Hover,9,17,Clear,14.9,3.6,9.4,42,X,Ground Radar,163,0.985,473.8,146,Moderate,Yes,High,Low,Helicopter
573,Ballistic Missile,3929.6,27694.2,-7.1712,-111.89629,24,-13.1,-12.4,156,12.1,-0.8,6.16,279.9,314,43.16,-16697,20.2,0.617,Very High,Rocket,Very High,25.6,39.4,48709,Ballistic,6,17,Storm,4.6,3.2,22.5,25,X,Ground Radar,342,0.803,430.9,97,Strong,No,High,Medium,Ballistic Missile
574,Fighter,691.5,33230.4,30.05974,97.62449,162,-2.4,-41,3,-30.7,13.86,2.46,247.9,267,41.98,28103,34.6,0.113,Low,Jet,High,41.6,35.8,95004,Combat,1,15,Storm,1.9,12.5,11.1,24,C,AESA,273,0.947,330.4,130,Weak,No,Low,Low,Fighter
575,Hypersonic Missile,2856.9,17397.6,-44.58152,32.01032,1,7.7,-9.7,345,-22.4,-2.71,10.84,202.9,245,30.62,7832,30.8,0.009,Medium,Scramjet,Very High,22.1,58,120485,Glide,10,9,Fog,27.5,20.3,3.1,52,C,AWACS,298,0.772,484.4,176,Strong,Yes,Medium,Low,Hypersonic Missile
576,Cruise Missile,209.2,19707.5,1.27755,6.77847,116,-13.4,14.4,213,-14.4,-2.02,4.53,99.6,108,46.49,13745,9.3,0.947,Medium,Turbojet,Medium,15.2,36.5,100268,Terrain Following,10,9,Storm,24.1,16.3,-20,84,S,Ground Radar,41,0.777,398.2,169,,Yes,Low,Low,Cruise Missile
577,Transport Aircraft,197.3,8172.5,26.6455,-179.77746,143,18.8,-9.9,126,36.6,8.42,10.95,84.3,216,38.31,3411,19.3,0.661,Low,Turbofan,High,21.9,9.3,28601,Cruise,7,26,Fog,28.8,17.2,-2.3,89,L,AESA,368,0.929,294.4,22,Weak,Yes,Medium,High,Transport Aircraft
578,Cruise Missile,210.8,5361.8,33.21707,-159.09032,71,-3.8,3.1,0,15.4,16.31,27.04,55.5,260,12.84,17574,6.1,0.882,Low,Turbojet,Medium,17,1.6,12412,Terrain Following,4,4,Rain,21.2,24.9,34.2,89,X,AWACS,277,0.883,113.4,92,Weak,No,Low,High,Cruise Missile
579,Ballistic Missile,3101.5,37247.6,-23.10327,-39.52285,251,13.2,19,20,-48.8,11.62,4.74,335.8,251,8.99,-8828,39,0.635,Medium,Rocket,Very High,22.5,48.7,108794,Ballistic,6,12,Rain,27.5,0,6.9,77,S,AWACS,216,0.704,127.4,28,Weak,No,High,Low,Ballistic Missile
580,Ballistic Missile,3585.2,39567.2,36.38284,30.95748,226,9.5,56.2,337,8.4,15.11,10.56,236.5,338,8.42,-44114,38.5,0.529,High,Rocket,Very High,15.9,51.3,31715,Ballistic,7,2,Rain,2.1,21.3,28.4,25,X,AESA,84,0.581,453.8,113,Weak,Yes,High,Medium,Ballistic Missile
581,Hypersonic Missile,3144.5,17801.2,-35.98484,-135.12382,275,-6.6,22.2,96,29.2,13.68,0.92,160.2,69,23.29,-3801,21.7,0.697,Very High,Scramjet,Very High,16.4,58.7,147422,Glide,3,23,Rain,8.7,6.5,7.4,80,S,Ground Radar,238,0.908,500.6,115,Strong,Yes,Low,Low,Hypersonic Missile
582,Fighter,719.3,29984.6,-29.32921,110.20372,218,16.2,0.7,44,-6.3,10.35,16.45,278.7,339,33.71,-35263,19.3,0.857,Very High,Jet,High,16.7,37.7,101579,Combat,5,7,Fog,25.9,13.9,-12.1,92,S,AESA,358,0.772,263.1,34,Strong,Yes,Medium,High,Fighter
583,Fighter,205.7,34575.7,-1.4201,-34.6869,332,0.5,-56.2,42,32,15.77,5.57,241.5,23,21.79,-2246,29.4,0.144,Medium,Jet,High,35.9,51.4,69438,Combat,9,8,Fog,23.2,2.7,20.1,21,L,Ground Radar,457,0.953,566.1,128,Weak,No,Medium,Low,Fighter
584,Cruise Missile,250.8,29169.5,36.59279,-35.78739,103,6.5,42.3,96,-19.9,10.07,5.7,32.5,125,48.86,20707,8.5,0.925,Medium,Turbojet,Medium,17.1,13.3,10459,Terrain Following,2,28,Clear,5.3,21.4,41,96,L,Ground Radar,438,0.885,400.2,103,Weak,No,High,High,Cruise Missile
585,UAV,41.2,22574.2,22.22806,-2.5778,193,3.1,35.8,172,-10.6,9.42,3.78,243.1,94,49.35,2400,10.2,0.26,Low,Electric,Low,13.8,56,50960,Loiter,1,4,Storm,26,21.1,17.7,76,X,Ground Radar,180,0.912,506.1,166,Weak,No,Medium,Low,UAV
586,Hypersonic Missile,2083.8,8916.3,-35.12785,27.25056,166,19.5,20.8,356,-6.7,15.23,24.6,57.1,149,9.99,38358,18.3,0.262,Low,Scramjet,Very High,4.3,9.9,183942,Glide,7,15,Storm,18.9,2.1,-11.3,24,L,AWACS,79,0.882,47.3,84,Weak,Yes,Medium,Low,Hypersonic Missile
587,Transport Aircraft,205.2,19135.5,-42.10733,99.34759,219,-16.4,-13.4,350,20.2,18.98,24.67,17.7,186,47.64,41450,33.4,0.25,Low,Turbofan,High,22.3,55,10340,Cruise,8,30,Clear,11,10,-10.7,27,L,AESA,318,0.877,322.6,175,Moderate,No,High,Medium,Transport Aircraft
588,Hypersonic Missile,2846.8,827,-48.47955,-16.50513,239,-7.1,-50.6,271,-42.5,3.87,15.95,41.7,349,6.38,-12277,32.3,0.555,Low,Scramjet,Very High,30.1,15.1,91093,Glide,1,25,Storm,15.1,5.2,-19.6,53,X,AESA,208,0.741,464.7,26,Weak,Yes,Medium,High,Hypersonic Missile
589,Fighter,239.5,25207.1,-37.61729,139.20355,295,-5.9,9.3,309,-49.3,-3.75,5.12,227.4,185,13.47,8450,14.3,0.51,Very High,Jet,High,15.7,59.2,86699,Combat,9,19,Clear,24.8,11.4,41,66,C,AWACS,222,0.753,13.3,105,Strong,No,Low,Low,Fighter
590,UAV,43,39199.4,-18.22409,100.61214,266,-2.2,37.1,263,13.3,12.2,16.28,171.7,81,36.88,21450,36,0.414,Low,Electric,Low,11,11.2,85109,Loiter,6,19,Clear,3.7,11.9,30,36,X,AESA,174,0.696,262.7,3,Weak,Yes,Low,Medium,UAV
591,Ballistic Missile,2485.1,8794.5,28.08533,-126.28057,280,13.7,-55.4,241,-19,-3.33,1.54,60.7,87,4.58,25399,28,0.674,High,Rocket,Very High,33.3,3.9,53469,Ballistic,7,27,Clear,18.3,13.9,11.9,72,X,AESA,394,0.973,439.5,27,,No,High,High,Ballistic Missile
592,Helicopter,76.6,19301.2,21.53353,81.94549,338,-16.4,-35.5,192,6.4,6.07,17.61,398.1,114,44.88,-33418,11.1,0.44,Very High,Turboshaft,Medium,24.1,3.4,101584,Hover,2,8,Rain,3.6,10.9,-7.3,20,L,IRST,48,0.75,165.3,89,Weak,No,Medium,High,Helicopter
593,UAV,43.7,3281.6,51.96095,40.59512,22,-2.9,-58.5,6,-7.8,16.85,12.45,162.4,125,31.91,18568,5.8,0.144,Low,Electric,Low,13.6,44.3,74416,Loiter,5,22,Storm,7.8,7.1,8.5,44,X,IRST,317,0.752,434.4,65,,No,High,Medium,UAV
594,Helicopter,49.2,23017,51.83227,-158.8804,1,-11.6,-31.9,44,-5.9,11.91,19.62,243.5,297,29.14,33851,16.2,0.078,Very High,Turboshaft,Medium,12.1,6.8,4139,Hover,1,14,Fog,7.1,12.2,-11,51,X,IRST,133,0.514,249.6,48,Weak,No,Low,Medium,Helicopter
595,Cruise Missile,252.1,35780.5,-54.68334,-100.74732,276,18.1,-13.5,51,-11.5,1.5,28.01,126.4,203,13.53,38786,5.4,0.09,Very High,Turbojet,Medium,20.1,0,25633,Terrain Following,4,14,Fog,16.7,1.9,-12.7,41,S,AWACS,25,0.856,417.6,86,Moderate,No,Medium,Low,Cruise Missile
596,Fighter,315.7,15989.3,-57.36903,-44.37408,337,-18.8,20.3,329,-40.2,14.18,23.37,145.8,273,8.48,-45145,27.6,0.228,High,Jet,High,9.2,5.2,172627,Combat,3,22,Fog,2.7,19.9,5.6,21,X,IRST,344,0.988,581.8,90,Weak,Yes,Medium,Low,Fighter
597,Ballistic Missile,6167.5,6138.2,-33.29891,20.11169,3,-13.9,-48.6,290,-13,15.06,20.99,50.9,224,31.4,13890,15.5,0.198,Medium,Rocket,Very High,49.1,16.8,24994,Ballistic,10,6,Clear,17.3,20.5,8,90,L,IRST,362,0.699,501.5,79,,Yes,High,Medium,Ballistic Missile
598,Ballistic Missile,4951.2,48634.1,-48.0456,148.85632,23,-12.2,-16.7,21,39.9,7.7,13.93,126.2,223,35.83,-47034,12.9,0.605,High,Rocket,Very High,32.6,13,155108,Ballistic,5,25,Storm,27,12.6,2.2,53,S,AESA,262,0.709,441.4,159,,No,High,High,Ballistic Missile
599,UAV,48.5,43878.6,-15.91565,-37.48868,207,2.1,-20.5,242,-36.7,-4.53,20.41,306.8,47,2.91,10902,16.9,0.13,Very High,Electric,Low,28.9,7.1,57527,Loiter,5,11,Fog,6.7,6.5,30.8,38,L,Ground Radar,474,0.672,52.5,194,Moderate,Yes,High,Medium,UAV
600,UAV,66.2,38650.6,-21.86477,74.28548,22,-13.6,35.4,145,-30.9,14.63,22.17,21.3,103,33.21,-29633,21.1,0.41,High,Electric,Low,44.5,36.9,156284,Loiter,5,14,Clear,13.4,13.1,-16,88,L,Ground Radar,262,0.786,63.9,74,Weak,Yes,High,High,UAV
601,Cruise Missile,223.5,10102,-25.93131,14.3366,19,-7.1,46.1,87,-44.8,3.25,0.45,366.7,209,49.31,10942,22.5,0.087,Medium,Turbojet,Medium,4,19,106411,Terrain Following,9,18,Storm,12.1,9.9,10,59,S,AESA,460,0.6,62.8,103,Strong,No,High,High,Cruise Missile
602,UAV,54.8,31416,-38.00537,55.55817,307,4.6,55.4,328,1.5,6.83,26.8,157.3,134,19.23,33268,14.6,0.367,High,Electric,Low,41.2,30.1,138068,Loiter,3,20,Fog,7.2,2.4,19,92,L,AESA,191,0.891,114.4,21,Strong,No,High,High,UAV
603,Cruise Missile,279,46354.1,55.50211,-33.44114,22,5.4,-27.9,62,-36.6,12.99,8.24,266.5,342,22.42,-22142,39.7,0.813,Very High,Turbojet,Medium,16.7,48.8,69313,Terrain Following,4,18,Fog,17.1,24.1,12.4,12,X,AESA,95,0.707,468.3,52,,No,High,Medium,Cruise Missile
604,Cruise Missile,211.5,32144.1,-41.22375,-47.48627,357,-7.8,-27.6,215,-4.8,-2.75,0.65,103.3,246,17.61,-32458,32.5,0.399,Low,Turbojet,Medium,6.3,48.1,157559,Terrain Following,3,7,Clear,1.9,15.5,23.6,51,C,Ground Radar,93,0.82,22.2,10,Moderate,Yes,High,High,Cruise Missile
605,Cruise Missile,202.8,45662.7,-21.34335,22.35462,324,-16.8,-47.2,310,10,1.4,13.33,329,132,14.27,44154,29.8,0.199,High,Turbojet,Medium,46.1,14.5,118742,Terrain Following,8,14,Rain,4.6,5.6,-3.1,47,L,IRST,157,0.895,393.9,19,Weak,Yes,Low,Medium,Cruise Missile
606,Helicopter,52.1,30471.9,24.31399,36.20368,242,5.1,-37.1,219,-9.2,14.04,16.32,8.9,161,34.7,-20623,8.7,0.425,Very High,Turboshaft,Medium,40.9,42.3,66134,Hover,2,25,Rain,10.3,9.3,5.3,46,S,Ground Radar,263,0.548,181.5,58,Weak,Yes,High,Medium,Helicopter
607,Ballistic Missile,5542.6,5073.1,12.92432,-26.50183,28,-3.4,16.5,196,22.7,14.51,23.6,223,131,7.74,134,33.3,0.427,Low,Rocket,Very High,38.3,36.2,119179,Ballistic,8,24,Clear,1.3,8.4,23.1,36,C,AWACS,303,0.625,532.3,10,,No,Medium,Low,Ballistic Missile
608,Hypersonic Missile,1946,25887.7,13.65234,-22.90599,5,2.5,-15.7,267,-32.4,19.06,14.31,4.9,324,23.72,-32853,14.4,0.148,Medium,Scramjet,Very High,48.4,2.6,154727,Glide,5,18,Storm,4.3,2,38,43,C,AESA,407,0.979,516,81,Moderate,No,High,High,Hypersonic Missile
609,Hypersonic Missile,2278.5,40800.5,-28.21192,52.88107,177,3.3,30.5,250,-38.6,15.14,6.04,260,106,27.92,-10541,34.5,0.764,Very High,Scramjet,Very High,45.5,34,54873,Glide,10,21,Clear,7.1,2.6,-7.9,66,X,AESA,9,0.786,562.6,1,Weak,No,Medium,Medium,Hypersonic Missile
610,Hypersonic Missile,2620,26499.1,27.59734,-134.57952,293,-3.6,-43.2,69,-30.6,18.54,23.73,115.6,261,40.52,-27609,24.9,0.357,Medium,Scramjet,Very High,5.1,31.1,98148,Glide,10,10,Storm,11.1,10.3,3.1,74,C,AWACS,159,0.687,9.9,108,Moderate,Yes,Low,Medium,Hypersonic Missile
611,Helicopter,49.8,18114.4,12.65719,-151.84384,42,-19.2,30.2,189,-2.5,2.4,11.02,11.4,353,7.05,-49477,11.1,0.998,Low,Turboshaft,Medium,17,39.9,168815,Hover,10,28,Fog,1.3,7.8,14.1,23,X,Ground Radar,365,0.87,239.9,179,Strong,Yes,Medium,Medium,Helicopter
612,Ballistic Missile,6394.5,47153.5,-39.28365,-12.16569,321,-8.7,31,147,34.4,16.4,6.08,69.2,91,30.12,-31910,21.1,0.003,Low,Rocket,Very High,17.6,32.3,69419,Ballistic,2,5,Storm,2.7,6.6,-0.1,68,S,AWACS,136,0.61,466.7,35,,No,High,Medium,Ballistic Missile
613,Ballistic Missile,2289.8,38678.9,-53.98725,36.83852,316,-12,-25.4,344,36.4,1.79,29.81,49.9,315,18.83,-33116,37.8,0.966,Low,Rocket,Very High,18.2,33.6,182491,Ballistic,8,11,Fog,12.8,3.9,20.2,95,X,AWACS,96,0.798,317.8,41,,Yes,Medium,High,Ballistic Missile
614,Cruise Missile,266.5,12029.4,10.60904,90.45291,217,9.8,58.1,159,38.3,8.15,28.17,185.3,276,21.24,-1631,26,0.647,High,Turbojet,Medium,14.8,22.6,35821,Terrain Following,6,4,Clear,26.4,18.2,38.6,10,L,Ground Radar,84,0.562,352.7,117,,Yes,Low,Low,Cruise Missile
615,Hypersonic Missile,3282.7,12683.6,12.19502,53.13203,225,3.5,56.5,192,-22.9,19.15,0.38,248.2,285,38.42,-29934,9.9,0.069,Very High,Scramjet,Very High,17.4,5.1,105253,Glide,4,4,Fog,4.3,15.8,17.6,71,S,AESA,286,0.949,44.2,169,,Yes,Low,Low,Hypersonic Missile
616,Cruise Missile,248.3,20557.6,57.22285,44.84144,247,4.9,4.1,231,-9.9,10.95,12.9,113,43,14.84,33017,39.5,0.354,Medium,Turbojet,Medium,10.8,0.4,62215,Terrain Following,3,25,Fog,3.3,21.3,-15.5,81,S,AESA,142,0.602,210.9,136,,No,Low,Low,Cruise Missile
617,Hypersonic Missile,2207,8178.3,56.57648,25.8026,53,-5.2,22.4,44,-4.4,17.31,23.82,278.2,256,49.87,-21677,9.5,0.338,Medium,Scramjet,Very High,40.9,45.9,87057,Glide,4,4,Fog,19.3,18.8,-10.8,22,C,AESA,58,0.653,49.1,76,Strong,No,High,Medium,Hypersonic Missile
618,Transport Aircraft,220.4,45963.9,21.5688,-169.19089,334,-9.2,-11.9,74,12.8,-2.2,27.79,189.7,292,9.14,16567,26.9,0.62,Low,Turbofan,High,9.6,35.6,19065,Cruise,6,29,Rain,8.3,6.9,-3.6,67,X,AESA,168,0.7,561.3,49,Weak,Yes,High,Low,Transport Aircraft
619,Ballistic Missile,6377.6,19402.4,-18.28129,175.8522,132,15.5,22.5,335,-17,14.99,0.21,225.3,112,6.2,-18064,35.8,0.378,Low,Rocket,Very High,41.9,5.3,26128,Ballistic,2,30,Clear,26.7,18.5,12.4,42,L,IRST,55,0.945,346.8,107,Moderate,No,High,Low,Ballistic Missile
620,Hypersonic Missile,2033.6,42154,11.69531,111.77067,74,-19.5,-39.1,192,27.2,4.71,3.83,45.5,342,11.5,-16735,30.9,0.02,Very High,Scramjet,Very High,7.7,6.9,140476,Glide,9,9,Clear,29,0.5,-15.1,26,L,Ground Radar,155,0.549,41.8,25,Weak,Yes,High,Medium,Hypersonic Missile
621,Transport Aircraft,249.5,14199.5,37.85007,-147.09379,74,-16.7,-27.7,263,46.8,0.11,3.47,396.7,341,33.06,45909,31.6,0.955,Very High,Turbofan,High,37.5,58.8,156192,Cruise,2,25,Fog,12.1,24.6,22.7,23,C,IRST,233,0.724,584.3,38,Strong,Yes,Medium,Medium,Transport Aircraft
622,Helicopter,86.7,17494,-51.33236,-48.06821,90,-11.3,-42.7,304,-48.8,-3.16,29.05,398.2,220,13.91,16207,5.1,0.806,High,Turboshaft,Medium,47.6,55,92010,Hover,9,26,Clear,4,7.4,27.1,72,S,Ground Radar,199,0.688,422.5,36,,Yes,Medium,High,Helicopter
623,Hypersonic Missile,3452.9,9105.4,58.41179,-40.69257,158,1.5,18,279,-45.5,1.57,15.24,219.9,343,0.37,-43662,15.8,0.601,Very High,Scramjet,Very High,49.7,34.8,52959,Glide,1,17,Clear,1.6,8.1,16,31,S,AESA,196,0.625,280.2,183,Weak,Yes,Low,Low,Hypersonic Missile
624,Ballistic Missile,2110.6,22804.1,-12.24327,-13.25821,112,18.4,-55.9,55,33.7,5.85,26.14,157.2,261,6.56,41600,31.7,0.724,High,Rocket,Very High,29.2,27,88047,Ballistic,5,22,Storm,27.9,23.8,-4.6,10,S,AESA,15,0.628,441.9,163,Weak,No,Low,Low,Ballistic Missile
625,Ballistic Missile,3525.2,32158.7,-55.13176,-16.38452,316,12.3,25.9,302,-34.6,6.71,17.03,253.1,19,47.64,19190,5.6,0.152,High,Rocket,Very High,8.4,3,96158,Ballistic,7,20,Clear,29.2,18.3,34.8,76,C,AESA,396,0.52,71.3,76,Weak,No,Low,Medium,Ballistic Missile
626,Helicopter,78.2,42455.5,27.43365,-79.66816,159,9.1,-53.9,302,-29.1,3.27,18.95,54,229,10.29,20278,19,0.434,High,Turboshaft,Medium,29.5,22.6,72744,Hover,6,26,Clear,27.1,0,18.2,96,L,AESA,94,0.926,378.6,71,Strong,Yes,High,Medium,Helicopter
627,Helicopter,77,246.5,42.74515,101.1315,153,-13.7,35.3,292,-21.2,-3.55,13.72,22.8,146,8.58,30326,6.1,0.405,Low,Turboshaft,Medium,49.9,39.9,93548,Hover,10,23,Storm,26.5,18,24,98,L,AWACS,311,0.833,344.3,140,,Yes,Medium,Medium,Helicopter
